iter	Passed	Remaining
163	374	1907
164	374	1897
165	375	1887
166	377	1882
167	378	1874
168	379	1864
169	379	1854
170	380	1845
171	381	1835
172	382	1826
173	382	1816
174	384	1813
175	385	1807
176	386	1798
177	387	1790
178	388	1781
179	389	1772
180	389	1762
181	390	1753
182	391	1747
183	392	1741
184	393	1733
185	394	1725
186	394	1717
187	395	1709
188	396	1701
189	397	1693
190	398	1687
191	399	1681
192	400	1674
193	401	1666
194	401	1659
195	402	1651
196	403	1644
197	404	1636
198	404	1629
199	406	1627
200	407	1620
201	408	1613
202	409	1606
203	409	1599
204	410	1592
205	411	1585
206	412	1578
207	413	1575
208	414	1570
209	415	1563
210	416	1556
211	417	1550
212	417	1543
213	418	1537
214	419	1530
215	420	1525
216	421	1521
217	422	1515
218	423	1508
219	423	1502
220	424	1496
221	425	1490
222	425	1483
223	426	1477
224	427	1473
225	428	1468
226	429	1463
227	430	1457
228	431	1451
229	431	1445
230	432	1440
231	433	1434
232	434	1429
233	435	1426
234	436	1421
235	437	1415
236	438	1410
237	438	1404
238	439	1399
239	440	1393
240	440	1388
241	441	1384
242	443	1380
243	444	1376
244	444	1370
245	445	1365
246	446	1361
247	447	1355
248	447	1350
249	448	1345
250	449	1342
251	451	1339
252	452	1335
253	453	1330
254	453	1325
255	454	1320
256	455	1316
257	457	1315
258	458	1312
259	459	1307
260	460	1302
261	460	1298
262	461	1293
263	462	1288
264	463	1284
265	464	1280
266	465	1276
267	465	1272
268	466	1268
269	467	1264
270	468	1259
271	469	1256
272	472	1259
273	474	1256
274	475	1254
275	477	1252
276	478	1249
277	479	1245
278	480	1241
279	481	1237
280	481	1233
281	482	1228
282	483	1224
283	484	1220
284	484	1216
285	485	1212
286	486	1207
287	486	1203
288	487	1199
289	488	1195
290	489	1191
291	489	1187
292	490	1183
293	491	1179
294	492	1175
295	492	1172
296	493	1168
297	494	1164
298	495	1161
299	496	1158
300	497	1154
301	498	1151
302	500	1150
303	501	1147
304	501	1143
305	502	1140
306	503	1137
307	504	1133
308	505	1130
309	506	1127
310	507	1124
311	508	1121
312	509	1117
313	510	1114
314	510	1111
315	511	1107
316	512	1104
317	513	1101
318	514	1098
319	515	1095
320	516	1091
321	516	1088
322	517	1085
323	518	1082
324	519	1079
325	520	1075
326	521	1073
327	522	1070
328	525	1070
329	526	1068
330	527	1065
331	528	1063
332	529	1060
333	530	1057
334	531	1054
335	531	1051
336	532	1048
337	533	1045
338	534	1042
339	535	1039
340	536	1037
341	537	1034
342	538	1031
343	539	1028
344	539	1025
345	540	1021
346	541	1018
347	542	1015
348	542	1012
349	544	1010
350	545	1008
351	546	1005
352	547	1002
353	548	1000
354	548	997
355	549	993
356	550	990
357	552	990
358	553	988
359	554	985
360	555	982
361	555	979
362	556	976
363	557	973
364	559	973
365	561	972
366	563	971
367	564	968
368	564	966
369	566	964
370	567	962
371	568	960
372	569	957
373	570	954
374	570	951
375	571	948
376	572	945
377	574	945
378	576	944
379	576	941
380	577	938
381	578	935
382	579	933
383	579	930
384	582	929
385	583	927
386	584	925
387	584	922
388	585	919
389	586	916
390	586	914
391	587	911
392	589	910
393	590	907
394	590	905
395	591	902
396	592	899
397	593	897
398	593	894
399	597	896
400	598	893
401	600	893
402	613	909
403	615	908
404	616	906
405	617	903
406	619	902
407	620	899
408	620	897
409	621	894
410	622	891
411	623	889
412	624	888
413	626	886
414	626	883
415	627	881
416	628	878
417	629	876
418	630	873
419	631	872
420	632	870
421	633	867
422	634	865
423	635	862
424	635	860
425	636	857
426	637	855
427	638	853
428	639	850
429	639	848
430	640	845
431	641	843
432	641	840
433	642	838
434	643	835
435	644	833
436	644	830
437	645	828
438	646	826
439	647	823
440	647	821
441	648	818
442	649	816
443	650	814
444	650	811
445	651	809
446	652	807
447	653	804
448	653	802
449	654	800
450	655	797
451	656	795
452	656	793
453	657	790
454	658	788
455	658	786
456	659	783
457	660	781
458	660	779
459	661	776
460	662	774
461	663	772
462	663	769
463	664	767
464	665	765
465	666	763
466	667	761
467	668	759
468	668	757
469	669	755
470	670	752
471	670	750
472	671	748
473	672	746
474	673	743
475	673	741
476	674	739
477	675	737
478	675	735
479	676	732
480	677	730
481	677	728
482	678	726
483	679	724
484	680	722
485	680	719
486	681	717
487	682	716
488	683	713
489	683	711
490	684	709
491	685	707
492	686	705
493	686	703
494	687	701
495	688	699
496	688	697
497	689	695
498	690	693
499	691	691
500	691	688
501	692	686
502	693	684
503	693	682
504	694	680
505	695	678
506	696	677
507	697	675
508	697	673
509	698	671
510	699	669
511	699	667
512	700	665
513	701	663
514	702	661
515	702	659
516	703	657
517	704	655
518	705	653
519	705	651
520	706	649
521	707	647
522	707	645
523	708	643
524	709	641
525	710	640
526	711	638
527	712	636
528	713	634
529	713	633
530	714	631
531	715	629
532	716	627
533	716	625
534	717	623
535	718	621
536	718	619
537	719	618
538	720	616
539	721	614
540	721	612
541	722	610
542	723	608
543	723	606
544	725	605
545	725	603
546	726	601
547	727	599
548	727	597
549	728	596
550	729	594
551	730	592
552	730	590
553	731	588
554	732	587
555	732	585
556	733	583
557	734	581
558	735	579
559	735	578
560	736	576
561	737	574
562	737	572
563	738	571
564	740	569
565	748	574
566	750	573
567	751	571
568	753	570
569	754	568
570	755	567
571	755	565
572	756	563
573	757	562
574	758	560
575	758	558
576	759	556
577	760	555
578	761	553
579	761	551
580	762	549
581	763	548
582	763	546
583	764	544
584	765	543
585	766	541
586	766	539
587	767	538
588	768	536
589	769	534
590	770	533
591	770	531
592	771	529
593	772	527
594	773	526
595	774	524
596	774	522
597	775	521
598	776	519
599	776	517
600	777	516
601	778	514
602	779	512
603	779	511
604	780	509
605	781	507
606	782	506
607	782	504
608	783	503
609	784	501
610	785	499
611	785	498
612	786	496
613	787	494
614	787	493
615	788	491
616	789	489
617	790	488
618	790	486
619	791	485
620	792	483
621	792	481
622	793	480
623	794	478
624	795	477
625	795	475
626	796	473
627	797	472
628	798	470
629	798	469
630	799	467
631	800	465
632	800	464
633	801	462
634	802	461
635	802	459
636	803	457
637	804	456
638	805	454
639	805	453
640	806	451
641	807	450
642	807	448
643	808	446
644	809	445
645	810	444
646	811	442
647	812	441
648	812	439
649	813	438
650	814	436
651	814	434
652	815	433
653	816	431
654	817	430
655	817	428
656	818	427
657	819	425
658	820	424
659	820	422
660	821	421
661	822	419
662	822	418
663	823	416
664	824	415
665	825	413
666	826	412
667	826	410
668	827	409
669	828	407
670	828	406
671	829	404
672	830	403
673	831	402
674	831	400
675	832	399
676	833	397
677	833	396
678	834	394
679	835	393
680	836	391
681	836	390
682	837	388
683	838	387
684	839	385
685	839	384
686	840	382
687	841	381
688	841	380
689	842	378
690	843	377
691	844	375
692	844	374
693	845	372
694	846	371
695	846	369
696	847	368
697	848	367
698	849	365
699	849	364
700	850	362
701	851	361
702	852	359
703	852	358
704	853	357
705	854	355
706	854	354
707	855	352
708	856	351
709	856	350
710	857	348
711	858	347
712	859	345
713	859	344
714	860	342
715	861	341
716	861	340
717	862	338
718	863	337
719	864	336
720	864	334
721	865	333
722	866	332
723	867	330
724	868	329
725	869	328
726	869	326
727	870	325
728	871	323
729	872	322
730	872	321
731	873	319
732	874	318
733	875	317
734	875	315
735	876	314
736	877	313
737	877	311
738	878	310
739	879	309
740	880	307
741	881	306
742	881	304
743	882	303
744	883	302
745	883	300
746	884	299
747	885	298
748	886	296
749	886	295
750	887	294
751	888	292
752	888	291
753	889	290
754	890	288
755	891	287
756	891	286
757	892	284
758	893	283
759	894	282
760	894	281
761	895	279
762	896	278
763	897	277
764	897	275
765	898	274
766	899	273
767	899	271
768	900	270
769	901	269
770	901	267
771	902	266
772	903	265
773	904	263
774	904	262
775	905	261
776	906	260
777	907	259
778	908	257
779	909	256
780	910	255
781	910	253
782	911	252
783	912	251
784	913	250
785	914	248
786	914	247
787	915	246
788	916	245
789	917	243
790	917	242
791	918	241
792	919	240
793	920	238
794	920	237
795	922	236
796	923	235
797	932	236
798	934	235
799	935	233
800	936	232
801	937	231
802	938	230
803	939	228
804	939	227
805	940	226
806	941	225
807	941	223
808	942	222
809	943	221
810	944	220
811	945	218
812	946	217
813	946	216
814	947	215
815	948	213
816	949	212
817	949	211
818	950	210
819	951	208
820	952	207
821	952	206
822	953	205
823	954	203
824	955	202
825	955	201
826	956	200
827	957	198
828	958	197
829	958	196
830	959	195
831	960	193
832	961	192
833	961	191
834	962	190
835	963	188
836	964	187
837	964	186
838	965	185
839	966	184
840	967	182
841	968	181
842	969	180
843	972	179
844	974	178
845	975	177
846	976	176
847	977	175
848	979	174
849	981	173
850	983	172
851	984	171
852	985	169
853	987	168
854	990	167
855	991	166
856	992	165
857	993	164
858	994	163
859	997	162
860	998	161
861	999	160
862	1000	158
863	1001	157
864	1005	156
865	1006	155
866	1007	154
867	1008	153
868	1009	152
869	1011	151
870	1013	150
871	1014	148
872	1015	147
873	1017	146
874	1020	145
875	1021	144
876	1022	143
877	1025	142
878	1028	141
879	1029	140
880	1030	139
881	1033	138
882	1035	137
883	1036	135
884	1037	134
885	1038	133
886	1040	132
887	1042	131
888	1042	130
889	1043	129
890	1045	127
891	1046	126
892	1050	125
893	1051	124
894	1052	123
895	1054	122
896	1057	121
897	1058	120
898	1075	120
899	1076	119
900	1077	118
901	1078	117
902	1080	116
903	1081	114
904	1082	113
905	1083	112
906	1084	111
907	1085	109
908	1086	108
909	1087	107
910	1088	106
911	1089	105
912	1090	103
913	1091	102
914	1091	101
915	1092	100
916	1094	99
917	1095	97
918	1096	96
919	1097	95
920	1098	94
921	1098	92
922	1099	91
923	1101	90
924	1102	89
925	1103	88
926	1103	86
927	1104	85
928	1105	84
929	1106	83
930	1106	82
931	1108	80
932	1109	79
933	1110	78
934	1111	77
935	1111	76
936	1112	74
937	1113	73
938	1114	72
939	1114	71
940	1116	70
941	1117	68
942	1118	67
943	1119	66
944	1119	65
945	1120	63
946	1121	62
947	1122	61
948	1123	60
949	1124	59
950	1125	57
951	1126	56
952	1126	55
953	1127	54
954	1128	53
955	1129	51
956	1131	50
957	1132	49
958	1133	48
959	1133	47
960	1134	46
961	1135	44
962	1135	43
963	1136	42
964	1138	41
965	1139	40
966	1140	38
967	1141	37
968	1141	36
969	1142	35
970	1143	34
971	1144	32
972	1145	31
973	1146	30
974	1147	29
975	1148	28
976	1149	27
977	1149	25
978	1150	24
979	1151	23
980	1152	22
981	1154	21
982	1154	19
983	1155	18
984	1156	17
985	1157	16
986	1158	15
987	1159	14
988	1161	12
989	1161	11
990	1162	10
991	1163	9
992	1164	8
993	1165	7
994	1165	5
995	1167	4
996	1168	3
997	1169	2
998	1170	1
999	1170	0
